AADFYear,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
2000,16634,Estimated,Estimated using previous year's AADF on this link,London,Newham,A117,PA,542740,183000,A13,A124,1.5,0.93,89,150,13709,522,1481,261,20,6,13,4,5,309,16171
2000,18346,Estimated,Estimated using previous year's AADF on this link,London,Newham,A118,PA,539000,184400,A11,A11,0.2,0.12,228,547,22797,822,3029,1002,33,26,90,77,51,1279,28474
2000,18434,Estimated,Estimated using previous year's AADF on this link,London,Newham,A124,PA,543000,183663,A117,A406(T),1.2,0.75,133,96,24244,555,2685,377,51,28,43,10,10,519,28099
2000,18473,Estimated,Estimated using previous year's AADF on this link,London,Newham,A118,PA,542280,185666,A117,A116,0.5,0.31,229,436,18320,635,2877,499,32,5,40,19,10,605,22873
2000,18627,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,539135,185450,A112,LA Boundary,0.2,0.12,278,826,18073,512,3275,621,56,43,70,157,176,1123,23809
2000,18728,Counted,Manual count,London,Newham,A1020,PA,543900,181900,A117,A13(T),2,1.24,39,815,37168,250,6326,1507,222,701,150,425,262,3267,47826
2000,26201,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,538150,183345,A12,A115,1,0.62,499,1141,37250,813,6938,1092,84,79,36,47,49,1387,47529
2000,26659,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,538700,185000,Major Rd,A11,0.7,0.43,132,169,8469,300,1507,367,27,12,5,8,6,425,10870
2000,26660,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,541080,181500,A13,Victoria Dock Rd,0.8,0.5,47,54,11618,456,1311,255,34,46,8,8,10,361,13800
2000,26664,Estimated,Estimated using previous year's AADF on this link,London,Newham,A118,PA,540000,184830,A11,A114,1.6,0.99,261,388,17943,591,2483,440,25,12,29,29,31,566,21971
2000,26672,Counted,Manual count,London,Newham,A124,PA,542000,183400,A112,A117,1.8,1.12,112,150,17899,805,1276,408,20,3,21,6,3,461,20591
2000,28406,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,538670,184500,A11,A112,0.5,0.31,293,1240,23033,703,5111,930,77,43,53,50,64,1217,31304
2000,28672,Counted,Manual count,London,Newham,A406,TA,543450,185670,LA Boundary,A124,1.9,1.18,19,862,69351,254,12770,2776,371,622,513,1358,1080,6720,89957
2000,28773,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,538560,185340,LA boundary,Leyton Rd,0.2,0.12,211,162,7712,98,1326,316,93,4,9,8,4,434,9732
2000,28876,Estimated,Estimated using previous year's AADF on this link,London,Newham,A117,PA,543500,181240,A1020,A13,1.7,1.06,43,57,5554,372,698,183,17,12,18,17,14,261,6942
2000,36676,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,540000,183360,A1011,A114,1.1,0.68,229,296,19151,622,2151,316,35,21,5,9,4,390,22610
2000,36681,Estimated,Estimated using previous year's AADF on this link,London,Newham,A117,PA,542180,185000,A124,A118,2.1,1.3,103,62,12024,364,1162,124,23,6,10,3,4,170,13782
2000,37543,Estimated,Estimated using previous year's AADF on this link,London,Newham,A1011,PA,539600,181230,A1020,A13,1.3,0.81,66,130,13049,769,3094,581,64,117,75,113,112,1062,18104
2000,38439,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,539000,184650,A112,A11 The Grove,0.2,0.12,138,813,21118,441,3103,735,39,26,37,42,43,922,26397
2000,38830,Estimated,Estimated using previous year's AADF on this link,London,Newham,A1020,PA,541670,180600,A112,A112,0.5,0.31,43,438,30267,562,4899,1199,235,211,386,580,365,2976,39142
2000,46201,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,538660,184000,A115,A11 Great Eastern Rd,0.4,0.25,396,1346,46096,1265,7985,1063,96,78,117,146,166,1666,58358
2000,46217,Counted,Manual count,London,Newham,A13,TA,540000,181700,A1011,A112,1.7,1.06,84,2776,68385,321,7236,2396,238,669,236,516,346,4401,83119
2000,46669,Counted,Manual count,London,Newham,A112,PA,541100,182000,A124,A13,1,0.62,56,145,16863,755,1195,219,23,36,5,7,4,294,19252
2000,46672,Estimated,Estimated using previous year's AADF on this link,London,Newham,A117,PA,543683,180000,A112,A1020,1.3,0.81,65,239,5816,322,1504,358,58,44,60,182,172,874,8755
2000,48610,Counted,Manual count,London,Newham,A13,TA,543000,182214,A117,A13,1.1,0.68,57,1743,68080,379,13641,2203,317,754,404,1256,671,5605,89448
2000,48812,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,541400,180900,Prince Regent Lane,A1020,0.5,0.31,118,111,8832,263,1247,298,20,50,4,8,8,388,10841
2000,48813,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,542700,180020,A1020,A117,1.8,1.12,46,18,3437,462,716,168,5,4,10,47,31,265,4898
2000,49007,Counted,Manual count,London,Newham,A1020,PA,540250,180293,A1011,A112,1.9,1.18,26,394,32129,875,4353,1036,162,194,102,190,90,1774,39525
2000,56496,Estimated,Estimated using previous year's AADF on this link,London,Newham,A116,PA,542000,186140,A117,A118,0.9,0.56,127,99,11684,147,1353,151,3,20,5,1,1,181,13464
2000,56512,Counted,Manual count,London,Newham,A124,PA,540000,182000,A13,A112,1.9,1.18,343,253,13086,1190,2226,256,18,18,12,13,3,320,17075
2000,56897,Estimated,Estimated using previous year's AADF on this link,London,Newham,A1011,PA,539181,182643,A13,A112,2.3,1.43,76,168,14400,194,2675,402,52,37,17,5,7,520,17957
2000,57911,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,539050,184500,A118,A11 Great Eastern Rd,0.2,0.12,362,1229,31519,769,4007,732,74,29,44,58,61,998,38522
2000,58231,Counted,Manual count,London,Newham,A406,TA,543792,183560,A124,A13,1.3,0.81,9,593,73506,326,10364,2939,373,425,763,1736,1674,7910,92699
2000,58332,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,538985,185330,A11,A11,0.6,0.37,73,71,5640,5,869,171,2,2,2,5,9,191,6776
2000,58444,Estimated,Estimated using previous year's AADF on this link,London,Newham,A1020,PA,542900,180880,A112,A117,2.2,1.37,30,534,30915,177,5341,1184,310,392,184,510,527,3107,40074
2000,70203,Counted,Manual count,London,Newham,A117,PA,543330,179840,ferry,A112,0.5,0.31,63,164,4729,714,758,292,78,73,92,255,187,977,7342
2000,73000,Counted,Dependent on a neighbouring counted link,London,Newham,A13,TA,544250,182930,A406 / A1020,LA boundary,0.6,0.37,83,2341,60094,552,12076,3162,488,1248,624,1260,935,7717,82780
2000,73819,Counted,Dependent on a neighbouring counted link,London,Newham,A116,PA,541766,186324,LA Boundary,A117,0.1,0.06,136,135,14718,289,1217,122,9,3,1,1,0,136,16495
2000,73820,Counted,Dependent on a neighbouring counted link,London,Newham,A114,PA,540500,185500,A118,LA Boundary,1,0.62,38,98,11069,118,1748,159,4,1,12,9,1,186,13219
2000,73822,Estimated,Estimated using previous year's AADF on this link,London,Newham,A13,TA,539220,181440,LA Boundary,A1011,0.3,0.19,168,2840,60846,722,13359,2106,268,951,169,438,266,4198,81965
2000,73823,Estimated,Estimated using previous year's AADF on this link,London,Newham,A1020,PA,539665,180840,LA Boundary,A1011,0.9,0.56,48,730,25846,487,6309,988,121,187,70,144,122,1632,35004
2000,75291,Estimated,Estimated using previous year's AADF on this link,London,Newham,A124,PA,542500,183540,A117,A117,0.2,0.12,116,124,24122,871,1950,526,43,40,18,12,6,645,27712
2001,6644,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,539200,184000,A118,A1011,0.8,0.5,263,201,14718,1323,1663,455,23,16,13,12,17,536,18441
2001,6649,Estimated,Estimated using previous year's AADF on this link,London,Newham,A117,PA,542040,185600,A118,A116,0.8,0.5,99,52,7346,422,789,108,1,0,2,0,0,111,8720
2001,6650,Counted,Manual count,London,Newham,A118,PA,542000,185480,A114,A117,1.6,0.99,315,281,21673,402,1502,511,41,6,20,23,10,611,24469
2001,8376,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,538818,184238,A11 Great Eastern Rd,A112 Tramway Ave,0.2,0.12,532,1067,29187,1940,3261,1060,42,63,51,67,74,1357,36812
2001,8542,Estimated,Estimated using previous year's AADF on this link,London,Newham,A118,PA,543000,186045,A116,A406,0.9,0.56,181,406,36488,630,3729,448,41,35,32,14,14,584,41837
2001,16187,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,539200,185050,A11 Great Eastern Rd,A112,0.8,0.5,442,1148,23977,715,3682,790,49,27,91,94,107,1158,30680
2001,16202,Counted,Manual count,London,Newham,A13,PA,542000,182120,A112,A117,2,1.24,30,2409,64847,258,10069,3674,306,748,215,457,517,5917,83500
2001,16628,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,540670,183000,A114,A124,0.9,0.56,191,194,16619,396,2381,335,33,19,9,5,6,407,19997
2001,16631,Estimated,Estimated using previous year's AADF on this link,London,Newham,A114,PA,540350,184000,A112,A118,2,1.24,172,123,12906,220,1804,253,19,0,2,2,0,276,15329
2001,16632,Estimated,Estimated using previous year's AADF on this link,London,Newham,A115,PA,538360,184000,LA Boundary,A11,1.3,0.81,117,232,8781,234,2090,458,88,122,22,53,28,771,12108
2001,16634,Estimated,Estimated using previous year's AADF on this link,London,Newham,A117,PA,542740,183000,A13,A124,1.5,0.93,101,166,13393,520,1514,260,24,6,12,4,6,312,15905
2001,18346,Estimated,Estimated using previous year's AADF on this link,London,Newham,A118,PA,539000,184400,A11,A11,0.2,0.12,260,609,22273,819,3096,998,39,26,83,69,60,1275,28072
2001,18434,Estimated,Estimated using previous year's AADF on this link,London,Newham,A124,PA,543000,183663,A117,A406(T),1.2,0.75,152,107,23686,553,2744,375,60,28,40,9,12,524,27614
2001,18473,Estimated,Estimated using previous year's AADF on this link,London,Newham,A118,PA,542280,185666,A117,A116,0.5,0.31,261,486,17898,633,2940,497,37,5,36,17,12,604,22561
2001,18627,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,539135,185450,A112,LA Boundary,0.2,0.12,317,919,17657,510,3347,619,65,43,64,141,206,1138,23571
2001,18728,Estimated,Estimated using previous year's AADF on this link,London,Newham,A1020,PA,543900,181900,A117,A13(T),2,1.24,44,908,36314,249,6465,1501,259,712,137,381,308,3298,47234
2001,26201,Counted,Manual count,London,Newham,A11,PA,538150,183345,A12,A115,1,0.62,501,588,41651,900,5929,1880,142,112,152,138,88,2512,51580
2001,26659,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,538700,185000,Major Rd,A11,0.7,0.43,150,188,8274,299,1540,365,32,12,5,7,7,428,10729
2001,26660,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,541080,181500,A13,Victoria Dock Rd,0.8,0.5,53,60,11351,454,1340,254,40,47,8,7,12,368,13573
2001,26664,Counted,Manual count,London,Newham,A118,PA,540000,184830,A11,A114,1.6,0.99,265,536,21248,434,2828,523,32,13,16,8,5,597,25643
2001,26672,Estimated,Estimated using previous year's AADF on this link,London,Newham,A124,PA,542000,183400,A112,A117,1.8,1.12,128,167,17487,801,1304,406,23,3,19,6,3,460,20219
2001,28406,Counted,Manual count,London,Newham,A11,PA,538670,184500,A11,A112,0.5,0.31,280,568,25890,727,2890,745,36,43,21,31,9,885,30960
2001,28672,Counted,Manual count,London,Newham,A406,PA,543450,185670,LA Boundary,A124,1.9,1.18,8,477,64780,239,12147,2694,357,618,629,1280,1041,6619,84262
2001,28773,Counted,Manual count,London,Newham,A112,PA,538560,185340,LA boundary,Leyton Rd,0.2,0.12,127,184,6495,3,814,125,2,4,0,1,1,133,7629
2001,28876,Counted,Manual count,London,Newham,A117,PA,543500,181240,A1020,A13,1.7,1.06,22,35,7271,293,733,228,23,15,18,44,34,362,8694
2001,36676,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,540000,183360,A1011,A114,1.1,0.68,261,330,18711,620,2198,314,41,21,5,8,5,394,22253
2001,36681,Estimated,Estimated using previous year's AADF on this link,London,Newham,A117,PA,542180,185000,A124,A118,2.1,1.3,117,69,11747,362,1187,124,27,6,10,3,5,175,13540
2001,37543,Counted,Manual count,London,Newham,A1011,PA,539600,181230,A1020,A13,1.3,0.81,49,195,12589,1668,2168,488,65,36,19,52,29,689,17309
2001,38439,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,539000,184650,A112,A11 The Grove,0.2,0.12,157,905,20632,439,3171,732,46,26,34,38,50,926,26073
2001,38830,Estimated,Estimated using previous year's AADF on this link,London,Newham,A1020,PA,541670,180600,A112,A112,0.5,0.31,49,487,29571,560,5007,1194,274,215,354,521,428,2986,38611
2001,46201,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,538660,184000,A115,A11 Great Eastern Rd,0.4,0.25,451,1498,45036,1260,8161,1059,112,79,107,131,195,1683,57638
2001,46217,Counted,Manual count,London,Newham,A13,PA,540000,181700,A1011,A112,1.7,1.06,56,3041,56751,281,9924,2763,345,1003,170,425,265,4971,74968
2001,46669,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,541100,182000,A124,A13,1,0.62,64,161,16476,752,1221,219,27,36,5,7,5,299,18909
2001,46672,Estimated,Estimated using previous year's AADF on this link,London,Newham,A117,PA,543683,180000,A112,A1020,1.3,0.81,74,266,5682,320,1537,356,68,44,55,164,202,889,8694
2001,48610,Counted,Manual count,London,Newham,A13,PA,543000,182214,A117,A13,1.1,0.68,100,3194,73851,316,9174,2952,397,1172,177,414,347,5459,91994
2001,48812,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,541400,180900,Prince Regent Lane,A1020,0.5,0.31,134,124,8629,262,1275,296,24,50,4,7,10,391,10681
2001,48813,Counted,Manual count,London,Newham,A112,PA,542700,180020,A1020,A117,1.8,1.12,22,64,5186,310,753,130,24,27,6,28,26,241,6554
2001,49007,Estimated,Estimated using previous year's AADF on this link,London,Newham,A1020,PA,540250,180293,A1011,A112,1.9,1.18,29,438,31390,871,4449,1032,189,197,94,170,106,1788,38936
2001,56496,Estimated,Estimated using previous year's AADF on this link,London,Newham,A116,PA,542000,186140,A117,A118,0.9,0.56,144,110,11415,147,1383,151,4,20,5,1,1,182,13237
2001,56512,Estimated,Estimated using previous year's AADF on this link,London,Newham,A124,PA,540000,182000,A13,A112,1.9,1.18,391,282,12785,1185,2275,255,21,18,11,11,3,319,16846
2001,56897,Counted,Manual count,London,Newham,A1011,PA,539181,182643,A13,A112,2.3,1.43,123,127,16948,214,2288,771,31,45,33,0,0,880,20457
2001,57911,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,539050,184500,A118,A11 Great Eastern Rd,0.2,0.12,412,1368,30794,766,4095,729,86,29,40,52,72,1008,38031
2001,58231,Counted,Manual count,London,Newham,A406,PA,543792,183560,A124,A13,1.3,0.81,29,568,55277,203,11185,2802,402,814,331,700,642,5691,72924
2001,58332,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,538985,185330,A11,A11,0.6,0.37,83,79,5511,5,888,171,2,2,2,4,11,192,6675
2001,58444,Counted,Manual count,London,Newham,A1020,PA,542900,180880,A112,A117,2.2,1.37,6,412,26863,161,3143,841,113,316,107,199,170,1746,32325
2001,70203,Estimated,Estimated using previous year's AADF on this link,London,Newham,A117,PA,543330,179840,ferry,A112,0.5,0.31,72,183,4620,711,774,291,91,74,85,228,219,988,7276
2001,73000,Counted,Dependent on a neighbouring counted link,London,Newham,A13,PA,544250,182930,A406 / A1020,LA boundary,0.6,0.37,70,1975,58684,472,10619,2887,552,1738,350,965,698,7190,78940
2001,73819,Estimated,Estimated using previous year's AADF on this link,London,Newham,A116,PA,541766,186324,LA Boundary,A117,0.1,0.06,150,146,14733,309,1221,114,10,3,1,1,0,129,16538
2001,73820,Estimated,Estimated using previous year's AADF on this link,London,Newham,A114,PA,540500,185500,A118,LA Boundary,1,0.62,42,106,11080,126,1753,148,4,1,12,9,1,175,13240
2001,73822,Counted,Manual count,London,Newham,A13,PA,539220,181440,LA Boundary,A1011,0.3,0.19,192,3161,59446,720,13653,2098,313,966,155,393,311,4236,81216
2001,73823,Counted,Dependent on a neighbouring counted link,London,Newham,A1020,PA,539665,180840,LA Boundary,A1011,0.9,0.56,63,497,26675,324,4424,1028,108,136,74,209,158,1713,33633
2001,75291,Counted,Manual count,London,Newham,A124,PA,542500,183540,A117,A117,0.2,0.12,132,138,23567,868,1993,523,50,40,16,11,7,647,27213
2002,6644,Counted,Manual count,London,Newham,A112,PA,539200,184000,A118,A1011,0.8,0.5,268,240,18536,1148,1813,351,24,19,13,10,9,426,22163
2002,6649,Estimated,Estimated using previous year's AADF on this link,London,Newham,A117,PA,542040,185600,A118,A116,0.8,0.5,101,48,6935,485,735,95,1,0,2,0,0,98,8301
2002,6650,Estimated,Estimated using previous year's AADF on this link,London,Newham,A118,PA,542000,185480,A114,A117,1.6,0.99,321,263,20459,462,1400,451,39,6,17,19,10,542,23126
2002,8376,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,538818,184238,A11 Great Eastern Rd,A112 Tramway Ave,0.2,0.12,542,1000,27553,2229,3039,936,40,60,44,55,76,1211,35032
2002,8542,Estimated,Estimated using previous year's AADF on this link,London,Newham,A118,PA,543000,186045,A116,A406,0.9,0.56,185,381,34445,724,3475,395,39,33,28,12,14,521,39546
2002,16187,Counted,Manual count,London,Newham,A11,PA,539200,185050,A11 Great Eastern Rd,A112,0.8,0.5,275,245,22204,435,1403,328,26,29,4,9,11,407,24694
2002,16202,Estimated,Estimated using previous year's AADF on this link,London,Newham,A13,PA,542000,182120,A112,A117,2,1.24,30,2257,61215,297,9384,3244,293,714,184,375,534,5344,78497
2002,16628,Counted,Manual count,London,Newham,A112,PA,540670,183000,A114,A124,0.9,0.56,174,128,22070,438,1839,235,17,10,11,11,9,293,24768
2002,16631,Counted,Manual count,London,Newham,A114,PA,540350,184000,A112,A118,2,1.24,85,112,15925,190,1025,224,20,2,7,0,8,261,17513
2002,16632,Counted,Manual count,London,Newham,A115,PA,538360,184000,LA Boundary,A11,1.3,0.81,123,147,9544,180,1746,371,72,151,15,5,14,628,12245
2002,16634,Counted,Manual count,London,Newham,A117,PA,542740,183000,A13,A124,1.5,0.93,182,267,17118,790,1685,309,55,12,10,7,2,395,20255
2002,18346,Estimated,Estimated using previous year's AADF on this link,London,Newham,A118,PA,539000,184400,A11,A11,0.2,0.12,265,571,21026,941,2885,881,37,25,71,57,62,1133,26556
2002,18434,Counted,Manual count,London,Newham,A124,PA,543000,183663,A117,A406(T),1.2,0.75,178,237,26805,966,2948,540,53,23,28,16,20,680,31636
2002,18473,Counted,Manual count,London,Newham,A118,PA,542280,185666,A117,A116,0.5,0.31,213,180,17845,504,1582,297,58,36,35,17,16,459,20570
2002,18627,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,539135,185450,A112,LA Boundary,0.2,0.12,322,861,16669,586,3120,547,62,41,55,115,213,1033,22269
2002,18728,Counted,Manual count,London,Newham,A1020,PA,543900,181900,A117,A13(T),2,1.24,21,709,32472,351,4655,1296,207,404,95,318,351,2671,40858
2002,26201,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,538150,183345,A12,A115,1,0.62,510,551,39318,1035,5526,1660,136,107,130,113,91,2237,48667
2002,26659,Counted,Manual count,London,Newham,A112,PA,538700,185000,Major Rd,A11,0.7,0.43,125,162,12695,405,1574,204,67,13,5,3,1,293,15129
2002,26660,Counted,Manual count,London,Newham,A112,PA,541080,181500,A13,Victoria Dock Rd,0.8,0.5,136,65,9554,924,789,63,13,20,16,14,7,133,11465
2002,26664,Estimated,Estimated using previous year's AADF on this link,London,Newham,A118,PA,540000,184830,A11,A114,1.6,0.99,270,502,20058,498,2635,462,31,13,14,6,5,531,24224
2002,26672,Counted,Manual count,London,Newham,A124,PA,542000,183400,A112,A117,1.8,1.12,274,255,17196,612,1630,453,38,12,9,6,4,522,20215
2002,28406,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,538670,184500,A11,A112,0.5,0.31,285,532,24440,835,2693,658,34,41,18,25,9,785,29285
2002,28672,Estimated,Estimated using previous year's AADF on this link,London,Newham,A406,PA,543450,185670,LA Boundary,A124,1.9,1.18,8,447,61152,275,11321,2379,341,590,539,1048,1075,5972,79167
2002,28773,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,538560,185340,LA boundary,Leyton Rd,0.2,0.12,129,172,6131,3,759,110,2,4,0,1,1,118,7183
2002,28876,Estimated,Estimated using previous year's AADF on this link,London,Newham,A117,PA,543500,181240,A1020,A13,1.7,1.06,22,33,6864,337,684,201,22,15,16,36,36,326,8244
2002,36676,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,540000,183360,A1011,A114,1.1,0.68,266,309,17664,712,2048,277,39,21,5,6,5,353,21086
2002,36681,Counted,Manual count,London,Newham,A117,PA,542180,185000,A124,A118,2.1,1.3,241,94,18045,444,1329,196,18,3,9,3,2,231,20143
2002,37543,Estimated,Estimated using previous year's AADF on this link,London,Newham,A1011,PA,539600,181230,A1020,A13,1.3,0.81,49,182,11884,1917,2021,430,62,34,16,42,30,614,16618
2002,38439,Counted,Manual count,London,Newham,A11,PA,539000,184650,A112,A11 The Grove,0.2,0.12,218,597,21650,613,2661,605,50,30,31,15,19,750,26271
2002,38830,Estimated,Estimated using previous year's AADF on this link,London,Newham,A1020,PA,541670,180600,A112,A112,0.5,0.31,49,456,27915,643,4667,1054,262,205,303,426,443,2693,36374
2002,46201,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,538660,184000,A115,A11 Great Eastern Rd,0.4,0.25,459,1403,42514,1448,7606,936,107,76,92,107,202,1520,54491
2002,46217,Counted,Manual count,London,Newham,A13,PA,540000,181700,A1011,A112,1.7,1.06,37,1244,41629,145,7439,1584,243,741,220,510,683,3981,54438
2002,46669,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,541100,182000,A124,A13,1,0.62,66,151,15553,864,1138,194,26,34,5,5,5,269,17975
2002,46672,Counted,Manual count,London,Newham,A117,PA,543683,180000,A112,A1020,1.3,0.81,54,178,8949,405,1360,404,37,49,53,317,190,1050,11942
2002,48610,Counted,Manual count,London,Newham,A13,PA,543000,182214,A117,A13,1.1,0.68,127,3064,63027,360,9337,1821,258,1007,207,577,521,4391,80179
2002,48812,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,541400,180900,Prince Regent Lane,A1020,0.5,0.31,136,116,8146,301,1188,262,23,48,4,6,10,353,10104
2002,48813,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,542700,180020,A1020,A117,1.8,1.12,22,60,4895,356,702,114,23,26,6,23,27,219,6232
2002,49007,Counted,Manual count,London,Newham,A1020,PA,540250,180293,A1011,A112,1.9,1.18,28,382,37211,976,5409,1098,225,273,100,208,287,2191,46169
2002,56496,Counted,Manual count,London,Newham,A116,PA,542000,186140,A117,A118,0.9,0.56,54,72,9173,63,729,127,14,14,1,0,1,157,10194
2002,56512,Counted,Manual count,London,Newham,A124,PA,540000,182000,A13,A112,1.9,1.18,133,217,15457,1004,1312,255,42,36,11,3,8,355,18345
2002,56897,Estimated,Estimated using previous year's AADF on this link,London,Newham,A1011,PA,539181,182643,A13,A112,2.3,1.43,125,119,15999,246,2132,681,29,43,29,0,0,782,19278
2002,57911,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,539050,184500,A118,A11 Great Eastern Rd,0.2,0.12,419,1282,29070,880,3817,644,82,28,34,43,74,905,35954
2002,58231,Counted,Manual count,London,Newham,A406,PA,543792,183560,A124,A13,1.3,0.81,1,352,63210,238,8971,2358,422,853,595,1114,1732,7074,79845
2002,58332,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,538985,185330,A11,A11,0.6,0.37,85,74,5203,5,827,151,2,2,2,3,11,171,6280
2002,58444,Estimated,Estimated using previous year's AADF on this link,London,Newham,A1020,PA,542900,180880,A112,A117,2.2,1.37,6,386,25358,185,2929,743,108,302,91,163,176,1583,30441
2002,70203,Estimated,Estimated using previous year's AADF on this link,London,Newham,A117,PA,543330,179840,ferry,A112,0.5,0.31,74,172,4361,817,722,257,86,71,73,186,226,899,6971
2002,73000,Counted,Dependent on a neighbouring counted link,London,Newham,A13,PA,544250,182930,A406 / A1020,LA boundary,0.6,0.37,26,1477,50076,281,8760,3548,346,2058,403,871,608,7834,68428
2002,73819,Counted,Dependent on a neighbouring counted link,London,Newham,A116,PA,541766,186324,LA Boundary,A117,0.1,0.06,106,135,13638,320,1263,208,8,2,2,0,0,220,15576
2002,73820,Counted,Dependent on a neighbouring counted link,London,Newham,A114,PA,540500,185500,A118,LA Boundary,1,0.62,67,188,11782,82,1138,185,9,3,6,4,2,209,13399
2002,73822,Estimated,Estimated using previous year's AADF on this link,London,Newham,A13,PA,539227,181449,LA Boundary,A1011,0.3,0.19,195,2961,56117,827,12725,1852,299,923,132,322,321,3849,76479
2002,73823,Estimated,Estimated using previous year's AADF on this link,London,Newham,A1020,PA,539665,180840,LA Boundary,A1011,0.9,0.56,64,466,25181,372,4124,908,103,130,64,171,163,1539,31682
